Código - Nome,Turma,Vagas,Número créditos aula teórica,Número de créditos aula prática,Número de turmas agrupadas aula teórica,Turmas teóricas agrupadas,Número de turmas agrupadas aula prática,Turmas práticas agrupadas,Número de professores,Professor,Formato,Indicação de professor,Indicação de Horário,Ambiente,Carga Didática,Vagas Efetivas,Observações
EMB5380 - Tópicos Especiais em Gestão automotiva,10603,20,2,,1,10603,1,10603,2,James Schipmann Eger,3,Coord. Automotiva,preencher,Laboratório Informática,2.00,10,Atribuir ao James (2 h aulas) ao Mauricio (1h aula). a Disicplina roda 100% em labortório de Informática
EMB5380 - Tópicos Especiais em Gestão automotiva,10603,20,1,,1,10603,1,10603,2,Maurício de Campos Porath,3,Coord. Automotiva,preencher,Laboratório Informática,1.00,10,Atribuir ao James (2 h aulas) ao Mauricio (1h aula). a Disicplina roda 100% em labortório de Informática
EMB5384 - Tópicos Especiais em Elétrica e Eletrônica Automotiva,10603,20,2,1,1,10603,1,10603,1,Xisto Lucas Travassos Junior,,Coord. Automotiva,preencher,Sala Comum + Laboratório Específico,3.00,20,
EMB5385 - Controle Estatístico da Qualidade,10603,20,2,1,1,10603,1,10603,1,Sueli Fischer Beckert,3,Coord. Automotiva,preencher,Laboratório Informática,3.00,20,
EMB5386 - Refrigeração e Condicionamento de Ar,10603,25,3,,1,10603,1,10603,1,Diogo Lôndero da Silva,3,Coord. Automotiva,preencher,Sala Comum,3.00,25,
EMB5009 - Termodinâmica,03602,25,2,2,2,03602/03603,2,03602/03603,1,Fabiano Gilberto Wolf,2+2,Coord. Aeroespacial,Departamento,Sala Comum,2.00,25,
EMB5009 - Termodinâmica,03603,25,2,2,2,03602/03603,2,03602/03603,1,Fabiano Gilberto Wolf,2+2,Coord. Aeroespacial,Departamento,Sala Comum,2.00,25,
EMB5009 - Termodinâmica,03604,25,2,2,2,03604/03606,2,03604/03606,1,Fabiano Gilberto Wolf,2+2,Coord. Aeroespacial,Departamento,Sala Comum,2.00,25,
EMB5009 - Termodinâmica,03606,25,2,2,2,03604/03606,2,03604/03606,1,Fabiano Gilberto Wolf,2+2,Coord. Aeroespacial,Departamento,Sala Comum,2.00,25,
EMB5017 - Mecânica dos Fluidos,04602,25,2,2,4,04602/04604/04603/04606,4,04602/04604/04603/04606,1,Ernane Silva,2+2,Coord. Aeroespacial,Departamento,Sala Comum,0.80,25,
EMB5017 - Mecânica dos Fluidos,04603,25,2,2,4,04602/04604/04603/04606,4,04602/04604/04603/04606,1,Ernane Silva,2+2,Coord. Aeroespacial,Departamento,Sala Comum,0.80,25,
EMB5017 - Mecânica dos Fluidos,04604,25,2,2,4,04602/04604/04603/04606,4,04602/04604/04603/04606,1,Ernane Silva,2+2,Coord. Aeroespacial,Departamento,Sala Comum,0.80,25,
EMB5017 - Mecânica dos Fluidos,04606,25,2,2,4,04602/04604/04603/04606,4,04602/04604/04603/04606,1,Ernane Silva,2+2,Coord. Aeroespacial,Departamento,Sala Comum,0.80,25,
EMB5017 - Mecânica dos Fluidos,04601G,50,2,2,1,04601G,1,04601G,1,Renato Oba,2+2,Coord. Aeroespacial,Departamento,Sala Comum,4.00,50,
EMB5040 - Fenômenos de Transporte,05605,25,2,2,3,04607/05605/05608,3,04607/05605/05608,1,Marcus Vinicius Volponi Mortean,2+2,Coord. Aeroespacial,preencher,Sala Comum,1.33,25,
EMB5040 - Fenômenos de Transporte,04607,30,2,2,3,04607/05605/05608,3,04607/05605/05608,1,Marcus Vinicius Volponi Mortean,2+2,Coord. Aeroespacial,preencher,Sala Comum,1.33,30,
EMB5040 - Fenômenos de Transporte,05608,30,2,2,3,04607/05605/05608,3,04607/05605/05608,1,Marcus Vinicius Volponi Mortean,2+2,Coord. Aeroespacial,preencher,Sala Comum,1.33,30,
EMB5045 - Trabalho de Conclusão de Curso,10602,25,,,1,10602,1,10602,0,A definir,,Coord. Aeroespacial,preencher,,0.00,0,
EMB5046 - Estágio Curricular Obrigatório,10602,25,,,1,10602,1,10602,0,A definir,,Coord. Aeroespacial,preencher,,0.00,0,
EMB5103 - Transmissão de Calor I,05602,25,2,2,2,05602/05603,2,05602/05603,1,Rafael de Camargo Catapan,2+2,Coord. Aeroespacial,Departamento,Sala Comum,2.00,25,
EMB5103 - Transmissão de Calor I,05603,25,2,2,2,05602/05603,2,05602/05603,1,Rafael de Camargo Catapan,2+2,Coord. Aeroespacial,Departamento,Sala Comum,2.00,25,
EMB5103 - Transmissão de Calor I,05604,25,2,2,2,05604/05606,2,05604/05606,1,Renato Oba,2+2,Coord. Aeroespacial,Departamento,Sala Comum,2.00,25,
EMB5103 - Transmissão de Calor I,05606,25,2,2,2,05604/05606,2,05604/05606,1,Renato Oba,2+2,Coord. Aeroespacial,Departamento,Sala Comum,2.00,25,
EMB5106 - Máquinas de Fluxo e Propulsão,07602,25,2,2,1,07602,1,07602,1,Talita Sauter Possamai,2+2,Coord. Aeroespacial,Departamento,Sala Comum,4.00,25,
EMB5401 - Estruturas Aeroespaciais,07602,40,2,2,1,07602,1,07602,1,Marcos Alves Rabelo,2+2,Coord. Aeroespacial,Coord. Aeroespacial,Sala Comum,4.00,40,
EMB5405 - Mecânica do Vôo,07602,40,2,2,1,07602,1,07602,1,Antônio Otaviano Dourado,2+2,Coord. Aeroespacial,Coord. Aeroespacial,Sala Comum,4.00,40,
EMB5406 - Introdução à Engenharia Aeroespacial,01602,40,2,,1,01602,1,01602,1,Juan Pablo de Lima Costa Salazar,2,Coord. Aeroespacial,Coord. Aeroespacial,Sala Comum,2.00,40,
EMB5407 - Ambiente Espacial,05602,40,2,,1,05602,1,05602,1,Helton da Silva Gaspar,2,Coord. Aeroespacial,Coord. Aeroespacial,Sala Comum,2.00,40,
EMB5410 - Mecânica do Vôo Espacial,08602,40,2,2,1,08602,1,08602,1,Helton da Silva Gaspar,2+2,Coord. Aeroespacial,Coord. Aeroespacial,Sala Comum,4.00,40,
EMB5411 - Mecânica dos Sólidos Computacional,08602,40,2,2,1,08602,1,08602,1,Marcos Alves Rabelo,2+2,Coord. Aeroespacial,Coord. Aeroespacial,Sala Comum,4.00,40,
EMB5412 - Propulsão Aeroespacial I,08602,40,2,2,1,08602,1,08602,1,Talita Sauter Possamai,2+2,Coord. Aeroespacial,Coord. Aeroespacial,Sala Comum,4.00,40,
EMB5413 - Mecânica dos Fluidos Computacional,08602,40,2,2,1,08602,1,08602,1,Ernane Silva,2+2,Coord. Aeroespacial,Coord. Aeroespacial,Sala Comum,4.00,40,
EMB5414 - Propulsão Aeroespacial II,09602,40,2,2,1,09602,1,09602,1,Juan Pablo de Lima Costa Salazar,2+2,Coord. Aeroespacial,Coord. Aeroespacial,Sala Comum,4.00,40,
EMB5415 - Propulsão Aeroespacial III,09602,40,2,2,1,09602,1,09602,1,Eduardo de Carli da Silva,2+2,Coord. Aeroespacial,Coord. Aeroespacial,Sala Comum,4.00,40,
EMB5416 - Engenharia de Veículos Aeroespaciais,09602,40,2,2,1,09602,1,09602,1,Rafael Gigena Cuenca,2+2,Coord. Aeroespacial,Coord. Aeroespacial,Sala Comum,4.00,40,
EMB5418 - Aerotermodinâmica e Hipersônica,08602,40,2,2,1,08602,1,08602,1,Juan Pablo de Lima Costa Salazar,2+2,Coord. Aeroespacial,Coord. Aeroespacial,Sala Comum,4.00,40,
EMB5423 - Aerodinâmica,05602,40,2,2,1,05602,1,05602,1,Rafael Gigena Cuenca,2+2,Coord. Aeroespacial,Coord. Aeroespacial,Sala Comum,4.00,40,
EMB5424 - Acústica para Engenharia Aeroespacial,08602,40,2,2,1,08602,1,08602,1,Filipe Dutra da Silva,2+2,Coord. Aeroespacial,preencher,Sala Comum,4.00,40,
EMB5425 - Engenharia de Plataformas Orbitais,09602,40,2,2,1,09602,1,09602,1,Kleber Vieira de Paiva,2+2,Coord. Aeroespacial,preencher,Sala Comum,4.00,40,
EMB5431 - Fundamentos de Combustão,07602,25,2,2,2,06603/07602,2,06603/07602,1,Rafael de Camargo Catapan,2+2,Coord. Aeroespacial,preencher,Sala Comum,2.00,25,
EMB5431 - Fundamentos de Combustão,06603,25,2,2,2,06603/07602,2,06603/07602,1,Rafael de Camargo Catapan,2+2,Coord. Aeroespacial,preencher,Sala Comum,2.00,25,
EMB5433 - Transferência de Calor II,06602,40,3,,1,06602,1,06602,1,Kleber Vieira de Paiva,3,Coord. Aeroespacial,Coord. Aeroespacial,Sala Comum,3.00,40,
EMB5436 - Escoamento Compressíveis,06602,40,2,2,1,06602,1,06602,1,Renato Oba,2+2,Coord. Aeroespacial,preencher,Sala Comum,4.00,40,
EMB5443 - Estágio Curricular Obrigatório I,10602,,,,1,10602,1,10602,1,Roberto Simoni,,Coord. Aeroespacial,preencher,,0.00,0,
EMB5444 - Estágio Curricular Obrigatório II,10602,,,,1,10602,1,10602,1,Roberto Simoni,,Coord. Aeroespacial,preencher,,0.00,0,
EMB5001 - Cálculo Diferencial e Integral I,01601,30,2,2,2,01601/01604,2,01601/01604,1,Alexandre Mikowski,2+2,Área da Matemática,Departamento,Sala Comum,2.00,30,
EMB5001 - Cálculo Diferencial e Integral I,01602,25,2,2,2,01602/01605,2,01602/01605,1,Rafael Machado Casali,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5001 - Cálculo Diferencial e Integral I,01603,25,2,2,2,01603/01606,2,01603/01606,1,Victor Simões Barbosa,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5001 - Cálculo Diferencial e Integral I,01604,20,2,2,2,01601/01604,2,01601/01604,1,Alexandre Mikowski,2+2,Área da Matemática,Departamento,Sala Comum,2.00,20,
EMB5001 - Cálculo Diferencial e Integral I,01605,25,2,2,2,01602/01605,2,01602/01605,1,Rafael Machado Casali,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
EMB5001 - Cálculo Diferencial e Integral I,01606,25,2,2,2,01603/01606,2,01603/01606,1,Victor Simões Barbosa,2+2,Área da Matemática,Departamento,Sala Comum,2.00,25,
